SERIALNO|ID|BILLOFENTRYNUMBER|BILLOFENTRYDATE|IECODE|IENAME|ADCODE|PORTOFDISCHARGE|IMPORTAGENCY|STATUS|EXTENSIONBY|EXTENSIONDATE|LETTERNUMBER|LETTERDATE
1|ff8081816f139566016f13b114a3231c|1002031|13/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
2|ff8081816f139566016f13b114b227e4|1001839|21/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
3|ff8081816f139566016f13b114b227e6|1001838|21/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
4|ff8081816f139566016f13b114c22cfc|2024818|29/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
5|ff8081816f139566016f13b114c22d0a|1004206|23/10/2019|3714002243|SHREE RAM EXPORTS|0250117|INSTV6|2|PENDING_PAYMENT||||
6|ff8081816f139566016f13b114a5238b|1012165|20/08/2019|3713001880|HINDUSTAN OILS INDUSTRIES|0250579|INKDL6|2|PENDING_PAYMENT||||
7|ff8081816f139566016f13b114ac25d9|1001996|09/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
8|ff8081816f139566016f13b114bb2aba|2022967|05/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
9|ff8081816f139566016f13b114a52397|1001976|05/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
10|ff8081816f139566016f13b114b42875|1002604|18/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
11|ff8081816f139566016f13b114bb2aea|1003602|23/09/2019|3714002243|SHREE RAM EXPORTS|0250117|INSTV6|2|PENDING_PAYMENT||||
12|ff8081816f139566016f13b114a523c3|1001761|09/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
13|ff8081816f139566016f13b114a523c7|1001735|07/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
14|ff8081816f139566016f13b114b42889|2010939|20/11/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
15|ff8081816f139566016f13b114a523d7|2002270|02/08/2019|5216924141|SHREE KRISHNA STEEL UDHYOG.|0250117|INSTV6|2|PENDING_PAYMENT||||
16|ff8081816f139566016f13b114a523dd|1001748|08/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
17|ff8081816f139566016f13b114ad2653|8032372|13/09/2019|1397002395|S G SALES CORPORATION|0250029|INJAI4|1|PENDING_PAYMENT||||
18|ff8081816f139566016f13b1149f21ac|1002403|23/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
19|ff8081816f139566016f13b1149f21b0|1002417|25/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
20|ff8081816f139566016f13b114a62402|8194243|25/09/2019|0301020175|PRECISION METALS|0251034|INNSA1|1|PENDING_PAYMENT||||
21|ff8081816f139566016f13b114a021eb|1002112|23/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
22|ff8081816f139566016f13b114ae26b4|1015066|06/09/2019|AACCT5483F|TIMESCAN LOGISTICS INDIA PRIVATE LIMITED|0250644|INCJJ6|2|PENDING_PAYMENT||||
23|ff8081816f139566016f13b114af270a|1013084|10/09/2019|0592044351|INOX INDIA PRIVATE LIMITED|0251188|INKDL6|2|PENDING_PAYMENT||||
24|ff8081816f139566016f13b114bf2c15|2023036|08/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
25|ff8081816f139566016f13b114bf2c19|1002561|13/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
26|ff8081816f139566016f13b114a22292|1002069|19/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
27|ff8081816f139566016f13b114a222ce|1002053|17/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
28|ff8081816f139566016f13b114a222d6|1002052|17/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
29|ff8081816f139566016f13b114b227e2|1013947|20/08/2019|AACCT5483F|TIMESCAN LOGISTICS INDIA PRIVATE LIMITED|0250644|INCJJ6|2|PENDING_PAYMENT||||
30|ff8081816f139566016f13b114530a82|1002158|27/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
31|ff8081816f139566016f13b114731430|2008916|18/09/2019|9999999999|M/S. HINDUSTAN ENERGY ; ALLIED SERVICES,|0250579|INKDL6|2|PENDING_PAYMENT||||
32|ff8081816f139566016f13b1147c16d1|8107485|19/09/2019|1397002395|S G SALES CORPORATION|0250029|INJAI4|1|PENDING_PAYMENT||||
33|ff8081816f139566016f13b11483191b|2019829|29/08/2019|0593038142|AERO CLUB|0250869|INCJJ6|2|PENDING_PAYMENT||||
34|ff8081816f139566016f13b11483191f|1002707|29/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
35|ff8081816f139566016f13b1148b1b87|1001913|29/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
36|ff8081816f139566016f13b114941e20|4974005|09/09/2019|0714020672|PRATHEEK ELEVATOR|0250402|INWFD6|1|PENDING_PAYMENT||||
37|ff8081816f139566016f13b114841970|1002619|20/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
38|ff8081816f139566016f13b1146e1260|1002480|04/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
39|ff8081816f139566016f13b1146e127c|1002282|10/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
40|ff8081816f139566016f13b1147514d4|1002735|03/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
41|ff8081816f139566016f13b114951e8e|1001736|07/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
42|ff8081816f139566016f13b1149d20f9|2020728|10/09/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
43|ff8081816f139566016f13b1149d2111|2011239|02/12/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
44|ff8081816f139566016f13b1149d2115|1002784|09/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
45|ff8081816f139566016f13b114761515|1002734|03/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
46|ff8081816f139566016f13b11466103b|1002467|01/11/2019|1307013805|LUNAWAT GEMS|0250011|INJSZ6|2|PENDING_PAYMENT||||
47|ff8081816f139566016f13b11466103f|2017850|31/10/2019|0588055743|M/S. MAGSONS EXPORTS|0250752|INMAA6|2|PENDING_PAYMENT||||
48|ff8081816f139566016f13b1146f12f0|1001897|27/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
49|ff8081816f139566016f13b114600e30|2011104|25/11/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
50|ff8081816f139566016f13b11467109c|1002819|12/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
51|ff8081816f139566016f13b1146810a0|1002788|09/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
52|ff8081816f139566016f13b1146810a2|1002821|12/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
53|ff8081816f139566016f13b114600e56|1002466|01/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
54|ff8081816f139566016f13b1146810cd|1002656|25/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
55|ff8081816f139566016f13b114580c16|8513402|14/10/2019|1315008335|SHAKTI ENTERPRISES|0250029|INDEL4|1|PENDING_PAYMENT||||
56|ff8081816f139566016f13b1146810d9|1002820|12/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
57|ff8081816f139566016f13b1146810db|1002802|10/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
58|ff8081816f139566016f13b1146910e5|2019047|22/08/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
59|ff8081816f139566016f13b114981f73|1001840|21/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
60|ff8081816f139566016f13b1145009d3|1012601|29/08/2019|3713001880|HINDUSTAN OILS INDUSTRIES|0250579|INKDL6|2|PENDING_PAYMENT||||
61|ff8081816f139566016f13b1149a1ff5|2025220|02/11/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
62|ff8081816f139566016f13b1148318d9|1001898|27/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
63|ff8081816f139566016f13b1148a1b5b|2010252|29/10/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
64|ff8081816f139566016f13b1149a2021|1001692|01/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
65|ff8081816f139566016f13b114520a72|1002138|26/09/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
66|ff8081816f139566016f13b11473142a|2008807|16/09/2019|9999999999|M/S. HINDUSTAN ENERGY ; ALLIED SERVICES,|0250579|INKDL6|2|PENDING_PAYMENT||||
67|ff8081816f139566016f13b114831915|1001907|28/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
68|ff8081816f139566016f13b114831917|1016458|23/11/2019|0592044351|INOX INDIA PRIVATE LIMITED|0251188|INKDL6|2|PENDING_PAYMENT||||
69|ff8081816f139566016f13b1148b1b7f|1002508|06/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
70|ff8081816f139566016f13b114c22d1c|1016882|03/10/2019|AACCT5483F|TIMESCAN LOGISTICS INDIA PRIVATE LIMITED|0250644|INCJJ6|2|PENDING_PAYMENT||||
71|ff8081816f139566016f13b114c22d1e|1016774|01/10/2019|AACCT5483F|TIMESCAN LOGISTICS INDIA PRIVATE LIMITED|0250644|INCJJ6|2|PENDING_PAYMENT||||
72|ff8081816f139566016f13b114c22d26|1018571|31/10/2019|AACCT5483F|TIMESCAN LOGISTICS INDIA PRIVATE LIMITED|0250644|INCJJ6|2|PENDING_PAYMENT||||
73|ff8081816f139566016f13b114c22d2e|1018126|24/10/2019|AACCT5483F|TIMESCAN LOGISTICS INDIA PRIVATE LIMITED|0250644|INCJJ6|2|PENDING_PAYMENT||||
74|ff8081816f139566016f13a88c020264|5458409|26/10/2019|0895009447|SAMBHAAV MEDIA LTD.|0200849|INDEL4|1|PENDING_PAYMENT||||
75|ff8081816f139566016f13a88bd70074|4522183|16/08/2019|0308048199|MEERA ENTERPRISES|0200419|INNSA1|1|PENDING_PAYMENT||||
76|ff8081816f139566016f13a88bec013d|4466685|13/08/2019|AFKPB3752K|R.S.ENTERPRISES|0200528|INMAA1|1|PENDING_PAYMENT||||
77|ff8081816f139566016f13a88bf501b4|4827646|09/09/2019|AFKPB3752K|R.S.ENTERPRISES|0200528|INMAA1|1|PENDING_PAYMENT||||
78|ff8081816f139566016f13b5b67f3e60|1001841|21/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|COMPLETED||||
79|ff8081816f139566016f13b5b69e451f|1001710|05/08/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|COMPLETED||||
80|ff8081816f139566016f13b5b67d3df3|4679427|28/08/2019|3711002650|BABA SAW MILL|0250579|INIXY1|1|COMPLETED||||
81|ff8081816f139566016f13b5b6c34e6a|1002288|11/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|COMPLETED||||
82|ff8081816f139566016f13b5b6ba4c2b|6207628|07/10/2019|3714001336|45 GUNATIPUR BHACHAU|0250579|INMUN1|1|COMPLETED||||
